payment_id,customer_id,amount,currency,status,failure_reason,payment_method,retry_count,previous_success_rate,days_since_last_attempt,recovery_status
pay_1001,cust_121,199,INR,success,,netbanking,1,0.38,1,not_required
pay_1002,cust_116,299,INR,failed,insufficient_funds,wallet,0,0.27,3,pending
pay_1003,cust_125,999,INR,success,,wallet,1,0.56,4,not_required
pay_1004,cust_103,499,INR,failed,network_error,wallet,2,0.32,5,pending
pay_1005,cust_123,299,INR,success,,netbanking,2,0.68,0,not_required
pay_1006,cust_118,299,INR,success,,wallet,0,0.64,5,not_required
pay_1007,cust_127,299,INR,success,,upi,1,0.82,1,not_required
pay_1008,cust_105,299,INR,success,,wallet,2,0.56,5,not_required
pay_1009,cust_117,999,INR,success,,netbanking,0,0.69,2,not_required
pay_1010,cust_121,499,INR,failed,expired_card,wallet,2,0.99,3,pending
pay_1011,cust_108,199,INR,success,,card,0,0.84,6,not_required
pay_1012,cust_104,2499,INR,success,,card,3,0.52,7,not_required
pay_1013,cust_111,999,INR,success,,netbanking,3,0.92,6,not_required
pay_1014,cust_104,499,INR,success,,wallet,0,0.8,1,not_required
pay_1015,cust_116,4999,INR,success,,upi,3,0.51,7,not_required
pay_1016,cust_103,199,INR,success,,upi,2,0.81,5,not_required
pay_1017,cust_116,499,INR,success,,wallet,0,0.96,4,not_required
pay_1018,cust_117,299,INR,failed,timeout,netbanking,1,0.32,2,pending
pay_1019,cust_128,199,INR,failed,expired_card,netbanking,0,0.29,5,pending
pay_1020,cust_102,1499,INR,failed,insufficient_funds,card,1,0.9,1,pending
pay_1021,cust_108,299,INR,failed,bank_declined,card,3,0.96,2,pending
pay_1022,cust_121,4999,INR,success,,card,1,0.77,6,not_required
pay_1023,cust_110,9999,INR,success,,wallet,0,0.4,1,not_required
pay_1024,cust_107,999,INR,success,,card,0,0.26,0,not_required
pay_1025,cust_121,199,INR,success,,netbanking,0,0.61,4,not_required
pay_1026,cust_106,499,INR,success,,wallet,1,0.83,6,not_required
pay_1027,cust_121,4999,INR,success,,netbanking,3,0.53,0,not_required
pay_1028,cust_107,299,INR,failed,expired_card,upi,2,0.84,1,pending
pay_1029,cust_107,9999,INR,success,,card,3,0.35,7,not_required
pay_1030,cust_102,299,INR,failed,timeout,wallet,0,0.24,0,pending
pay_1031,cust_128,999,INR,failed,expired_card,card,3,0.59,6,pending
pay_1032,cust_109,4999,INR,success,,upi,3,0.41,7,not_required
pay_1033,cust_118,9999,INR,success,,card,1,0.44,0,not_required
pay_1034,cust_101,199,INR,failed,insufficient_funds,netbanking,0,0.67,2,pending
pay_1035,cust_112,299,INR,failed,insufficient_funds,card,0,0.74,3,pending
pay_1036,cust_129,999,INR,success,,upi,0,0.54,5,not_required
pay_1037,cust_114,2499,INR,success,,card,2,0.52,4,not_required
pay_1038,cust_102,299,INR,success,,upi,3,0.7,1,not_required
pay_1039,cust_111,1499,INR,success,,card,2,0.9,3,not_required
pay_1040,cust_129,9999,INR,success,,netbanking,0,0.73,4,not_required
pay_1041,cust_108,499,INR,failed,insufficient_funds,netbanking,0,0.79,2,pending
pay_1042,cust_116,999,INR,success,,netbanking,1,0.75,4,not_required
pay_1043,cust_100,199,INR,success,,upi,3,0.86,0,not_required
pay_1044,cust_117,499,INR,success,,netbanking,1,0.79,6,not_required
pay_1045,cust_113,299,INR,success,,card,0,0.87,2,not_required
pay_1046,cust_121,1499,INR,success,,netbanking,0,0.92,3,not_required
pay_1047,cust_129,299,INR,success,,netbanking,3,0.98,2,not_required
pay_1048,cust_125,499,INR,failed,expired_card,card,0,0.34,5,pending
pay_1049,cust_127,999,INR,failed,bank_declined,netbanking,0,0.51,0,pending
pay_1050,cust_107,999,INR,success,,wallet,2,0.44,3,not_required
pay_1051,cust_130,999,INR,success,,wallet,2,0.42,1,not_required
pay_1052,cust_128,2499,INR,failed,timeout,wallet,2,0.95,1,pending
pay_1053,cust_123,499,INR,failed,insufficient_funds,netbanking,0,0.68,5,pending
pay_1054,cust_100,4999,INR,failed,expired_card,upi,1,0.4,6,pending
pay_1055,cust_119,999,INR,success,,netbanking,3,0.26,5,not_required
pay_1056,cust_112,299,INR,success,,netbanking,2,0.73,5,not_required
pay_1057,cust_119,499,INR,failed,expired_card,card,3,0.74,2,pending
pay_1058,cust_125,4999,INR,success,,upi,2,0.43,6,not_required
pay_1059,cust_116,2499,INR,success,,wallet,3,0.55,3,not_required
pay_1060,cust_102,499,INR,success,,upi,2,0.61,5,not_required
pay_1061,cust_107,999,INR,failed,bank_declined,netbanking,1,0.32,0,pending
